timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density
154,8,80,1.0,0.0,1.0,0.8888888888888888,147.10050194967368,1,1.0,,,,,,,,
155,10,80,1.0,0.0,1.0,0.8888888888888888,136.61623818830196,1,1.0,,,,,,,,
156,7,80,1.0,0.0,1.0,0.8888888888888888,151.48202067434642,1,1.0,,,,,,,,
157,9,80,1.0,0.0,1.0,0.8888888888888888,138.9625538285488,1,1.0,,,,,,,,
158,8,80,1.0,0.0,1.0,0.8888888888888888,152.58033348225368,1,1.0,,,,,,,,
159,9,80,1.0,0.0,1.0,0.8888888888888888,149.9821206295844,1,1.0,,,,,,,,
160,10,80,1.0,0.0,1.0,0.8888888888888888,147.7312931640658,1,1.0,,,,,,,,
161,10,80,1.0,0.0,1.0,0.8888888888888888,154.36155738564912,1,1.0,,,,,,,,
162,10,80,1.0,0.0,1.0,0.8888888888888888,160.98294580773427,1,1.0,,,,,,,,
163,9,80,1.0,0.0,1.0,0.8888888888888888,149.0801776851068,1,1.0,,,,,,,,
164,11,80,1.0,0.0,1.0,0.8888888888888888,139.01625343535986,1,1.0,,,,,,,,
165,9,80,1.0,0.0,1.0,0.8888888888888888,145.65599488275112,1,1.0,,,,,,,,
166,10,80,1.0,0.0,1.0,0.8888888888888888,142.36156546678566,1,1.0,,,,,,,,
167,9,80,1.0,0.0,1.0,0.8888888888888888,144.26053968624961,1,1.0,,,,,,,,
168,9,80,1.0,0.0,1.0,0.8888888888888888,151.87352052503212,1,1.0,,,,,,,,
169,9,80,1.0,0.0,1.0,0.8888888888888888,159.52935486498637,1,1.0,,,,,,,,
170,9,80,1.0,0.0,1.0,0.8888888888888888,160.1920861965053,1,1.0,,,,,,,,
171,9,80,1.0,0.0,1.0,0.8888888888888888,167.8602733116793,1,1.0,,,,,,,,
172,9,80,1.0,0.0,1.0,0.8888888888888888,167.62239892871682,1,1.0,,,,,,,,
173,6,80,1.0,0.0,1.0,0.8888888888888888,187.99275237961658,1,1.0,,,,,,,,
174,8,80,1.0,0.0,1.0,0.8888888888888888,164.96403719493856,1,1.0,,,,,,,,
175,9,80,1.0,0.0,1.0,0.8888888888888888,160.9887641834917,1,1.0,,,,,,,,
176,13,80,1.0,0.0,1.0,0.8888888888888888,135.05428387032222,1,1.0,,,,,,,,
177,13,80,1.0,0.0,1.0,0.8888888888888888,126.35287733839462,1,1.0,,,,,,,,
178,14,80,1.0,0.0,1.0,0.8888888888888888,126.0728154602853,1,1.0,,,,,,,,
179,15,80,1.0,0.0,1.0,0.8888888888888888,118.58763890192246,1,1.0,,,,,,,,
180,15,80,1.0,0.0,1.0,0.8888888888888888,110.564002537953,1,1.0,,,,,,,,
181,15,80,1.0,0.0,1.0,0.8888888888888888,106.66141994886509,1,1.0,,,,,,,,
182,13,80,1.0,0.0,1.0,0.8888888888888888,111.35764668322112,1,1.0,,,,,,,,
183,12,80,1.0,0.0,1.0,0.8888888888888888,114.07482604736221,1,1.0,,,,,,,,
184,12,80,1.0,0.0,1.0,0.8888888888888888,116.65732957053943,1,1.0,,,,,,,,
185,11,80,1.0,0.0,1.0,0.8888888888888888,119.98875985444789,1,1.0,,,,,,,,
186,10,80,1.0,0.0,1.0,0.8888888888888888,127.29349614875852,1,1.0,,,,,,,,
187,10,80,1.0,0.0,1.0,0.8888888888888888,127.486997455951,1,1.0,,,,,,,,
188,12,80,1.0,0.0,1.0,0.8888888888888888,121.94034317278566,1,1.0,,,,,,,,
189,11,80,1.0,0.0,1.0,0.8888888888888888,130.01679115023177,1,1.0,,,,,,,,
