timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_13_density,genotype_14_density,genotype_16_density,genotype_15_density,genotype_12_density
99,2574,100,0.0,0.00777000777000777,0.0019425019425019425,0.9411764705882353,45.79331465213388,17,0.9759129759129759,,0.001554001554001554,0.0027195027195027195,0.0027195027195027195,0.002331002331002331,0.002331002331002331,0.002331002331002331,0.0019425019425019425,0.0019425019425019425,,0.0011655011655011655,,,,,
100,2582,100,0.0,0.008133230054221533,0.0019364833462432224,0.9411764705882353,45.49185296220067,17,0.975987606506584,,0.001549186676994578,0.002711076684740511,0.002711076684740511,0.0023237800154918666,0.0023237800154918666,0.0023237800154918666,0.0019364833462432224,0.0019364833462432224,,0.0011618900077459333,,,,,
101,2594,100,0.0,0.008095605242868157,0.0019275250578257518,0.9411764705882353,45.212794145811905,17,0.9760986892829607,,0.0015420200462606013,0.0026985350809560524,0.0026985350809560524,0.002313030069390902,0.002313030069390902,0.002313030069390902,0.0019275250578257518,0.0019275250578257518,,0.001156515034695451,,,,,
102,2423,100,0.0,0.008666941807676434,0.9764754436648783,0.9411764705882353,21.67300079102958,17,0.974411886091622,,0.0016508460586050352,0.002888980602558811,0.002888980602558811,0.0024762690879075525,0.0024762690879075525,0.0024762690879075525,0.0020635575732562937,0.0020635575732562937,,0.0012381345439537762,,,,,
103,844,100,0.0,0.024881516587677725,0.9715639810426541,0.9411764705882353,20.58661808185773,16,0.9680094786729858,0.001184834123222749,0.001184834123222749,,,0.0035545023696682463,,0.002369668246445498,0.0035545023696682463,0.005924170616113744,,,0.002369668246445498,0.002369668246445498,0.002369668246445498,,
104,614,100,0.0,0.03420195439739414,0.9706840390879479,0.9411764705882353,19.777111991654355,15,0.9674267100977199,,0.0016286644951140066,,,0.003257328990228013,0.0016286644951140066,,0.003257328990228013,0.004885993485342019,,0.0016286644951140066,0.0016286644951140066,0.003257328990228013,0.003257328990228013,,
105,492,100,0.0,0.042682926829268296,0.967479674796748,0.9411764705882353,18.777662258885815,15,0.9634146341463414,,0.0020325203252032522,,0.0020325203252032522,,0.0020325203252032522,,0.0040650406504065045,0.0040650406504065045,,0.0020325203252032522,0.0020325203252032522,0.0040650406504065045,0.0040650406504065045,,
106,410,100,0.0,0.05121951219512195,0.9707317073170731,0.9411764705882353,18.03610794541135,14,0.9658536585365853,,,,0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,0.004878048780487805,,,0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,,0.0024390243902439024,
107,368,100,0.0,0.057065217391304345,0.967391304347826,0.9411764705882353,16.432092052948597,14,0.9646739130434783,,,,0.002717391304347826,0.002717391304347826,0.002717391304347826,0.002717391304347826,0.002717391304347826,,,0.002717391304347826,0.002717391304347826,0.002717391304347826,,0.002717391304347826,
108,322,100,0.0,0.06521739130434782,0.9658385093167702,0.9411764705882353,15.482181532333184,13,0.9627329192546584,,,,0.003105590062111801,0.003105590062111801,,0.003105590062111801,0.003105590062111801,,,0.003105590062111801,0.003105590062111801,0.003105590062111801,0.003105590062111801,0.003105590062111801,
